index,itemText,type,options,ticks,tickLabels,layout,itemColor,itemWidth,responseColor,responseWidth,granularity,font
,About Respect,heading,,,,,,,,,,
,The following questions ask you about what you think other people are like and what you think about how they act.,description,,,,,,,,,,
1,I feel disrespected when people don’t include me in the group.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
2,It is important that people show that they respect you.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
3,I feel disrespected when a group is making a decision and I don’t get to say what I think.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
4,People want to make you feel like they are better than you.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
5,I feel disrespected when people tease me.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
6,It is important to let people know that they should respect you.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
7,I feel disrespected when people don’t listen to what I have to say.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
8,"If you are not careful, people will make you feel like you are no good.",rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
9,I feel disrespected when I am treated unfairly.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
10,I feel disrespected when someone gossips about me.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
11,People are always trying to make themselves look like they are better than you.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
12,It is more important to be respected than liked.,rating,,"1,2,3,4,5,6,7,8,9,10","Strongly Disagree,,,,,,,,,Strongly Agree",horiz,,,,,,
