pranksLoop.thisRepN,pranksLoop.thisTrialN,pranksLoop.thisN,pranksLoop.thisIndex,promptLoop.thisRepN,promptLoop.thisTrialN,promptLoop.thisN,promptLoop.thisIndex,randomInt.routineEndVal,infoLetterContinue.numClicks,infoLetterContinue.timesOn,infoLetterContinue.timesOff,infoletter.index,infoletter.itemText,infoletter.type,infoletter.granularity,infoletter.font,infoletter.markerColor,consentBtn.started,consentBtn.stopped,consentBtn.numClicks,consentBtn.timesOn,consentBtn.timesOff,consentform.index,consentform.itemText,consentform.type,consentform.granularity,consentform.font,consentform.markerColor,consentform.response,consentform.rt,instructionsBtn.started,instructionsBtn.stopped,instructionsBtn.numClicks,instructionsBtn.timesOn,instructionsBtn.timesOff,instructionsform.index,instructionsform.itemText,instructionsform.type,instructionsform.granularity,instructionsform.font,instructionsform.markerColor,slider.response,slider.rt,slider.started,slider.stopped,prankVar.routineEndVal,promptVar.routineEndVal,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,2,1,[1.2161341999890283],[1.2161369000095874],0,Information Letter,heading,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,1,Project Title: It's All Fun and Pranks,description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,2,"Faculty Investigator: Dr. Chris Burris, Psychology (St. Jerome's). 519-884-8111x28213 (cburris@uwaterloo.ca)",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,3,"Student Investigator: Maya Karmakar-Johnson, Psychology (mkarmaka@uwaterloo.ca)",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,4,This online research is being conducted as part of the Student Investigator's undergraduate honours thesis. It focuses on how people react to pranking behaviour and factors that affect those reactions.,description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,5,"In this study, you will be asked first to read several short accounts of actual pranks and then react to each (for example, how funny you did – or didn't – find that prank to be). You will then be asked to complete two short measures concerning your responses to how other people interact with you – specifically, how important feeling respected and dealing with anger are for you. Finally, we'll ask you to complete a brief demographic questionnaire that asks basic questions such as your age and gender (so that we can accurately summarize the study sample's characteristics in any future reports). After that, you'll be able to learn more about the study's purpose.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,6,"We expect this study to take no more than 30 minutes of your time. Participation is voluntary. Although no direct benefits to you are anticipated, we hope that you will learn more about the variety of research methods that are employed to test psychological hypotheses. In appreciation for your participation, you will receive 0.5 participation credits toward your applicable Psychology class.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,7,"The risks associated with participation in the study are expected to be no greater than what you might experience in your day-to-day life. Indeed, reacting to others' embarrassing or awkward experiences, as well as how we deal with how people treat us, are common experiences for many. Having said that, you may choose not to complete any proportion of the study but will still receive your 0.5 participation credit. If you do choose to withdraw from the study before reaching the end, we would ask that you please skip to the end to read the feedback letter. Once you have submitted your responses it is not possible to withdraw your consent to participate, however, as we have no way of knowing which responses are yours.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,8,"You will be completing the study by an online survey operated by Qualtrics. Qualtrics has implemented technical, administrative, and physical safeguards to protect the information provided via the Services from loss, misuse, and unauthorized access, disclosure, alteration, or destruction. However, no Internet transmission is ever fully secure or error free. University of Waterloo researchers will not collect or use internet protocol (IP) addresses or other information which could link your participation to your computer or electronic device without first informing you.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,9,"Your identity will be confidential: your questionnaire responses will be identified by a code. You will not be identified by name in any report, publication, or presentation resulting from this study. If you choose to participate your data will be stored for at least 5 years on the password-protected computer on the Faculty Investigator.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,10,"If you have any questions about the study, either before or after participating, please feel free to contact the Faculty Investigator as shown above.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,11,"This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Board (REB# 44380). If you have questions for the Board, contact the Office of Research Ethics, at 1-519-888-4567 ext. 36005 or reb@uwaterloo.ca",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,13.163378000026569,None,1,[0.9045218999963254],[0.9045241000130773],0,Consent for Participation,heading,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
,,,,,,,,,,,,,,,,,,,,,,,1,"By consenting to participate, you are not waiving your legal rights or releasing the investigator(s) or involved institution(s) from their legal and professional responsibilities.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_18h40.02.975,study,2022.1.4,142.36983144455388,
